"","Amount of food (g)","Amount of liquid (ml)","Average spiciness (scov)","Chance to win"
"33",334.750389577821,168.15687646328,4561.71669765682,5.75007655869089e-111
"29",554.176312971395,144.183787506937,3203.26449171614,1.10887910813067e-62
"97",768.587277263869,117.976157396036,1565.41875000244,6.96646740964987e-21
"76",376.231668184046,161.84704151483,1032.79378961728,7.62901983581318e-111
"21",572.859930233099,138.551197547353,469.170728970774,1.38618925773457e-73
"37",650.864567398094,237.58024254931,2968.98521664659,4.84536786986476e-184
"50",316.889056728687,207.282106546031,3471.52562405953,2.85882307573879e-168
"100",685.319993209559,280.275911613485,2789.92406414145,1.09614502572263e-240
"75",463.625626396388,208.476784828604,1597.77867259863,5.99889209979603e-164
"48",544.202323940117,214.821912382235,3135.56411393459,5.07540319689478e-160
"22",492.329199723899,219.138973703248,639.17051928366,3.20053583641378e-185
"45",649.161586067639,264.289432273446,2614.84542860475,5.27847527472265e-222
"73",342.726066417526,253.564349129769,1295.70607162854,8.03622998356259e-237
"14",638.474094136618,190.008457456164,3160.11784847748,2.68203216184158e-119
"63",683.815637754742,268.022184405668,613.38936247405,2.8619160953987e-241
"47",766.530830867123,211.021900508226,1445.77746570734,6.59257103570662e-149
"40",504.761346208397,231.246459394299,3585.03130537565,3.90901719287885e-184
"44",394.082064116374,181.153518256941,4463.86516465825,3.40027728234489e-123
"68",798.495401281398,266.063946527539,1445.41991620196,3.33836195934419e-222
"94",398.134308448061,126.053838245897,2819.19455479375,1.25131208064085e-51
"72",622.518752284814,221.813556275496,2099.47915699374,3.10059586681466e-168
"89",351.033083528746,175.635627427016,1330.85918066171,1.3839114838822e-129
"25",773.199748403858,167.421788195263,1918.82310787028,1.27096279080138e-85
"58",515.099478166085,247.464901100004,681.152644236131,8.09746961844284e-222
"71",696.716616326012,186.51611531501,3498.89087594031,2.02347828751969e-109
"88",518.878847153392,129.97120673348,928.140829317168,3.23762038036394e-58
"15",242.016285385471,218.406833717552,1721.48646594655,3.91085345078464e-196
"77",526.069477519486,124.891857821428,657.885865171048,3.01321832941724e-54
"95",794.888165509328,157.488911516013,865.886592079424,1.53030487104756e-80
"79",587.893606519792,250.246854494343,1278.71771487531,1.37539113346171e-214
